Название организации  (спортивного объекта);Тип (каток/лыжная трасса);Район;Время суток (день/ ночь/ день и ночь);Расположение (открытый/закрытый);Наличие проката инвентаря (да/нет);Наличие услуг инструктора (да/нет);Наличие помещения для переодевания (да/нет);Наличие камеры хранения (да/нет);Наличие кафе на территории (да/нет);широта;долгота
"СПб ГБУ ""Центр спорта Приморского района"" (земельный участок принадлежит СПб ГКУ ""Дирекция особо охраняемых природных территорий Санкт-Петербурга""";лыжная трасса;Приморский;день;открытый;0;0;0;0;0;59.993016;30.096974
"Школа хоккея ""Метеор""";каток;Приморский;день;закрытый;1;1;1;0;1;59.981926;30.325383
СПб ГБУ СШОР фигурного катания на коньках;каток;Приморский;день;закрытый;1;1;1;1;1;60.003223;30.263304
СПб ГБОУ школа № 45 Приморского района;каток;Приморский;день;открытый;0;0;0;0;0;60.01227;30.265905
СПб ГБОУ школа № 440 Приморского района;каток;Приморский;день;открытый;0;0;0;0;0;60.000832;30.138505
СПб ГБОУ школа № 555 Приморского района;каток;Приморский;день;открытый;0;0;0;0;0;60.012874;30.260031
СПб ГБОУ школа № 634 Приморского района;каток;Приморский;день;открытый;0;0;0;0;0;60.026329;30.291177
СПб ГБОУ школа № 438 Приморского района;каток;Приморский;день;открытый;0;0;1;0;0;60.009511;30.006075
ООО «Стрела» каток «Богатырь»;каток;Приморский;день;открытый;1;1;1;1;1;60.001428;30.25881
Каток в Континенте;каток;Приморский;день;закрытый;1;0;1;1;0;60.001973;30.272187
"СПб ГБПОУ ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""";каток;Приморский;круглосуточно;закрытый;0;0;1;0;0;59.994209;30.205264
"СПб ГБПОУ ""Академия ледовых видов спорта ""Динамо Санкт-Петербург""";каток;Приморский;круглосуточно;закрытый;0;0;1;0;0;60.017419;30.269259
"Спортивный комплекс ""Iceburg Arena""";каток;Приморский;день;закрытый;1;0;1;1;1;60.017482;30.282905
СПб ГБУ ЦФКСЗ «Царское Село»;каток;Пушкинский;день/ночь;открытый;0;1;0;0;0;59.6646556;30.4105399
СПб ГБУ ЦФКСЗ «Царское Село»;каток;Пушкинский;день/ночь;открытый;0;1;0;0;0;59.7291316;30.4080516
СПб ГБУ ЦФКСЗ «Царское Село»;каток;Пушкинский;день/ночь;открытый;0;1;0;0;0;59.7017574925737;30.38416799636325
СПб ГБУ ЦФКСЗ «Царское Село»;каток;Пушкинский;день/ночь;открытый;0;1;0;0;0;59.73964140571164;30.41682509026144
СПб ГБУ ЦФКСЗ «Царское Село»;каток;Пушкинский;день/ночь;открытый;0;1;0;0;0;59.73395;30.4191167
СПб ГБУ ЦФКСЗ «Царское Село»;каток;Пушкинский;день/ночь;открытый;0;1;0;0;0;59.73054;30.4169142
СПб ГБУ ЦФКСЗ «Царское Село»;каток;Пушкинский;день/ночь;открытый;0;1;0;0;0;59.810156;30.3752382
СПб ГБУ ЦФКСЗ «Царское Село»;каток;Пушкинский;день;открытый;1;1;1;0;1;59.6899017;30.4452887
МО Шушары;каток;Пушкинский;день/ночь;открытый;0;0;0;0;0;59.759200297107405;30.47137251044895
МО Шушары;каток;Пушкинский;день/ночь;открытый;0;0;0;0;0;59.75961685717517;30.365802813154385
МО Шушары;каток;Пушкинский;день/ночь;открытый;0;0;0;0;0;59.72878826283449;30.469223633986964
МО Павловск;каток;Пушкинский;день/ночь;открытый;0;0;0;0;0;59.68678222989538;30.42693759798768
МО Павловск;каток;Пушкинский;день/ночь;открытый;0;0;0;0;0;59.65486626126018;30.4005158786306
ООО «Клуб друзей»;каток;Пушкинский;день;открытый;1;1;1;1;1;59.715309;30.391683
Центр семейного досуга «Каскад»;каток;Пушкинский;день;открытый;0;0;0;0;0;59.693119341692174;30.414924323449675
Ледовая арена «Пулково»;каток;Пушкинский;день;закрытый;1;1;1;1;1;59.75828;30.361211
СПб ГБУ ЦФКСЗ «Царское Село»;лыжная трасса;Пушкинский;день/ночь;открытый;0;0;0;0;0;59.711314;30.420223
СПб ГБУ ЦФКСЗ «Царское Село»;лыжная трасса;Пушкинский;день;открытый;0;0;0;0;0;59.685898852373406;30.46071499575192
Спортивный центр «Арена ракета»;каток;Пушкинский;день;закрытый;1;1;1;1;1;59.80681023036661;30.37001788594353
КДЦ «Green Park»;каток;Пушкинский;день;открытый;1;0;1;1;1;59.742585297892546;30.47102808908676
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.852042;30.372717
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.867881;30.36112
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.872695;30.36872
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.845692;30.408768
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.841638;30.416967
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.878068;30.382642
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.876284;30.387911
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.862429;30.387868
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.869679;30.383678
ГБОУ СОШ № 230;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.870822;30.390419
Ледовая арена «Купчино»;каток;Фрунзенский;день/ночь;закрытый;0;0;0;0;0;59.844081;30.377856
ООО «Академия Валерия Харламова»;каток;Фрунзенский;день/ночь;закрытый;0;0;0;0;0;59.879091;30.384086
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;лыжная трасса;Фрунзенский;день;открытый;0;0;0;0;0;59.880943;30.37363
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;лыжная трасса;Фрунзенский;день;открытый;0;0;0;0;0;59.860196;30.402913
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;лыжная трасса;Фрунзенский;день;открытый;0;0;0;0;0;59.863447;30.362978
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.850283;30.39236
СПБ ГБУ Центр ФКСиЗ Фрунзенского района;каток;Фрунзенский;день;открытый;0;0;0;0;0;59.874697;30.40393
Многофункциональный развлекательный комплекс «Таврический сад»;каток;Центральный;день/ночь;закрытый;1;1;1;1;1;59.94645;30.368979
СПБ ГБУ «Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга» (Стадион Таврического сада);каток;Центральный;день;открытый;1;0;1;1;0;59.945815;30.368788
СПБ ГБУ «Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга»;каток;Центральный;день;открытый;0;0;0;0;0;59.946327;30.384025
СПБ ГБУ «Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга»;каток;Центральный;день;открытый;0;0;0;0;0;59.926578;30.380746
СПБ ГБУ «Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга»;каток;Центральный;день;открытый;0;0;0;0;0;59.926578;30.380746
СПБ ГБУ «Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга»;каток;Центральный;день;открытый;0;0;0;0;0;59.9372294;30.3243239
ОАО СПП «Центральное»;каток;Центральный;день;открытый;0;0;0;0;0;59.930843;30.377733
АО «Большой Гостиный Двор»;каток;Центральный;день;открытый;1;1;0;1;1;59.933441;30.331275
СПБ ГБУ «Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга»;лыжная трасса;Центральный;день;открытый;1;0;1;1;0;59.945178;30.371623
СПБ ГБУ «Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга»;каток;Центральный;день;открытый;0;0;0;0;0;59.94098;30.382671
