Название организации  (спортивного объекта);Тип (каток/лыжная трасса);Район;Время суток (день/ ночь/ день и ночь);Расположение (открытый/закрытый);Наличие проката инвентаря (да/нет);Наличие услуг инструктора (да/нет);Наличие помещения для переодевания (да/нет);Наличие камеры хранения (да/нет);Наличие кафе на территории (да/нет);широта;долгота
МО Пискаревка;каток;Калининский;день;открытый;0;0;0;0;0;60.008348;30.427831
МО Пискаревка;каток;Калининский;день;открытый;0;0;0;0;0;59.989902;30.428549
МО Гражданка;каток;Калининский;день;открытый;0;0;0;0;0;60.006289;30.413738
МО «Прометей»;каток;Калининский;день;открытый;0;0;0;0;0;60.034543;30.396941
ГБОУ СОШ №69;каток;Калининский;день;открытый;0;0;0;0;0;60.047223;30.384589
ТСЖ «Новое созвездие»;каток;Калининский;день;открытый;0;0;0;0;0;60.033185;30.428607
СПб ГБУ «Центр физической культуры, спорта и здоровья Калининского района»;лыжная трасса;Калининский;день;открытый;0;0;0;0;0;59.999622;30.395221
СПб ГБУ «Центр физической культуры, спорта и здоровья Калининского района»;лыжная трасса;Калининский;день;открытый;0;0;0;0;0;60.027488;30.398502
СПб ГБУ «Центр физической культуры, спорта и здоровья Калининского района»;лыжная трасса;Калининский;день;открытый;0;0;0;0;0;60.04125;30.386929
СПб ГБУ «Центр физической культуры, спорта и здоровья Калининского района»;лыжная трасса;Калининский;день;открытый;0;0;0;0;0;59.979728;30.415263
"СПб ГБУ Спортивная школа олимпийского резерва по хоккею ""Динамо-юниор""";каток;Калининский;день;закрытый;0;0;0;0;0;60.002512;30.37648
СПб ГБУ ЦФКиС Нарвская застава;каток;Кировский;день;открытый;1;1;0;0;0;59.841597;30.276238
СПб ГБУ ЦФКиС Нарвская застава;каток;Кировский;день;открытый;0;1;0;0;0;59.859075;30.240797
СПб ГБУ ЦФКиС Нарвская застава;каток;Кировский;день;открытый;0;1;0;0;0;59.84706;30.266292
СПб ГБУ ЦФКиС Нарвская застава;каток;Кировский;день;открытый;0;1;0;0;0;59.897638;30.212227
СПб ГБУ ЦФКиС Нарвская застава;каток;Кировский;день;открытый;0;1;0;0;0;59.843541;30.263126
СПб ГБУ ЦФКиС Нарвская застава;лыжная трасса;Кировский;день;открытый;1;0;0;0;0;59.841597;30.276238
СПб ГБУ ЦФКиС Нарвская застава;лыжная трасса;Кировский;день;открытый;0;0;0;0;0;59.828501;30.230581
СПб ГБУ ЦФКиС Нарвская застава;лыжная трасса;Кировский;день;открытый;0;0;0;0;0;59.844587;30.274048
СПб ГБУ ЦФКиС Нарвская застава;лыжная трасса;Кировский;день;открытый;0;0;0;0;0;59.858488;30.250733
СПб ГБУ ЦФКиС Нарвская застава;каток;Кировский;день;открытый;0;0;0;0;0;59.907376;30.256097
МО Нарвский округ;каток;Кировский;день;открытый;0;0;0;0;0;59.898098;30.272309
Ледовая арена Айсберг;каток;Кировский;день/ночь;закрытый;1;1;1;1;1;59.888008;30.260454
СПб ГБУ ПМЦ Кировский;каток;Кировский;день;открытый;0;0;0;0;0;59.853657;30.259735
СПб ГБУ ПМЦ Кировский;каток;Кировский;день;открытый;0;0;0;0;0;59.839685;30.242805
СПб ГБОУ СОШ №392;каток;Кировский;день;открытый;0;0;0;0;0;59.835368;30.21882
Муниципальное образование Автово;каток;Кировский;день;открытый;0;0;0;0;0;59.866469;30.274485
Санкт-Петербургское государственное казенное учреждение «Агентство благоустройства и коммунального хозяйства Колпинского района»;каток;Колпинский;день/ночь;открытый;0;0;0;0;0;59.750447;30.587222
Санкт-Петербургское государственное казенное учреждение «Агентство благоустройства и коммунального хозяйства Колпинского района»;каток;Колпинский;день/ночь;открытый;0;0;0;0;0;59.775295;30.592326
Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва Колпинского района Санкт-Петербурга;каток;Колпинский;день;открытый;0;0;0;0;0;59.734913;30.604635
Государственное бюджетное учреждение спортивная школа имени олимпийского чемпиона Николая Дроздецкого Колпинского района Санкт-Петербурга;каток;Колпинский;день/ночь;закрытый;0;0;1;0;0;59.745345;30.567468
Санкт-Петербургское государственное бюджетное учреждение «Спортивно-оздоровительный комплекс Колпинского района «Ижорец»;каток;Колпинский;день;открытый;1;1;1;1;0;59.7404;30.604877
Санкт-Петербургское государственное бюджетное учреждение «Спортивно-оздоровительный комплекс Колпинского района «Ижорец»;каток;Колпинский;день;открытый;1;0;1;0;0;59.780827;30.656967
Санкт-Петербургское государственное бюджетное учреждение «Спортивно-оздоровительный комплекс Колпинского района «Ижорец»;каток;Колпинский;день;закрытый;1;1;1;1;0;59.806173;30.57919
Хоккейный клуб «Колпино»;каток;Колпинский;день;закрытый;0;0;1;0;0;59.736906;30.606302
Санкт-Петербургское государственное казенное учреждение «Агентство благоустройства и коммунального хозяйства Колпинского района»;каток;Колпинский;день/ночь;открытый;0;0;0;0;0;59.733889;30.593856
Санкт-Петербургское государственное бюджетное учреждение «Спортивно-оздоровительный комплекс Колпинского района «Ижорец»;лыжная трасса;Колпинский;день/ночь;открытый;0;0;0;0;0;59.810838;30.581509
Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва Колпинского района Санкт-Петербурга;лыжная трасса;Колпинский;день/ночь;открытый;0;0;0;0;0;59.743309;30.616873
Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва Колпинского района Санкт-Петербурга;лыжная трасса;Колпинский;день/ночь;открытый;0;0;0;0;0;59.742478;30.600937
Санкт-Петербургское государственное бюджетное учреждение «Спортивно-оздоровительный комплекс Колпинского района «Ижорец»;лыжная трасса;Колпинский;день/ночь;открытый;0;0;0;0;0;59.780827;30.656967
Санкт-Петербургское государственное бюджетное учреждение «Спортивно-оздоровительный комплекс Колпинского района «Ижорец»;лыжная трасса;Колпинский;день/ночь;открытый;0;0;0;0;0;59.733889;30.593856
ТРЦ «ОКА» Ледовый каток «Каррамба»;каток;Колпинский;день;закрытый;1;1;0;0;0;59.738554;30.623817
