Порядковое число администрации и комитета,Название организации  (спортивного объекта),Сфера деятельности (вид спорта),Тип (каток/лыжная трасса),Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Время суток (день/ ночь/ день и ночь),Расположение (открытый/закрытый),Стоимость услуг (платно/ бесплатно),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Наличие кафе на территории (да/нет),Иные услуги (перечень),Освещение
12.001,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, ул. Дыбенко, д.17, корп.3","Ул. Дыбенко, участок 36, (южнее д.17, корп.3, лит. Ж)","59.90078,30.468486",Ст. Метро «Улица Дыбенко»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
12.002,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Запорожская ул., д.23, корп.2","Запорожская ул.,участок 2 (северо-восточнее д.23, корп.2, лит.А)","59.85195,30.467251",Ст. Метро «Обухово»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
12.003,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Искровский пр., д.6, корп.7","Искровский пр., участок 15 (севернее д.6, корп.7, лит.А)","59.914643,30.46422","Ст. Метро «Улица Дыбенко», «Проспект Большевиков»",Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
12.004,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Октябрьская наб., д.118, корп.7","Октябрьская наб., участок 68 (юго-западнее д.118, корп.7, лит.А)","59.862895,30.500754",Ст. Метро «Ломоносовская»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
12.005,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, Прибрежная ул., д.16","Прибрежная ул., участок 8 (юго-восточнее д.16, лит.А)","59.831232,30.508499",Ст. Метро «Рыбацкое»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
12.006,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург,
пр. Солидарности, д.21","Пр. Солидарности, участок 31 (севернее д.21, лит.А)","59.915628,30.495216",Ст. Метро «Улица Дыбенко»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
12.007,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, пр. Солидарности, д.8, корп.1,","Пр.Солидарности, участок 30 (восточнее д.8, корп.1, лит.А)","59.922711,30.493093",Ст. Метро «Проспект Большевиков»,Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Отсутствует
12.008,СПб ГБУ «ЦФКСиЗ Невского района» (внутридворовая спортивная площадка),"Хоккей, фигурное катание, конькобежный спорт",Каток,"г. Санкт-Петербург, ул. Подвойского, д.46","Подвойского ул., участок 21 (юго-западнее д.46, лит.Ш)","59.919806,30.498738",Ст. Метро «Улица Дыбенко»,Невский,495-49-41,Https://centrsporta-nevskiy.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,True,False,False,False,,Имеется
12.009,"СПб ГБУ «Центр физической культуры, спорта и здоровья Невского района СПб»","Хоккей, фигурное катание",Каток,"г. Санкт-Петербург, Железнодорожный пр., д.32","Г. Санкт-Петербург, Железнодорожный пр., д.32","59.881807,30.420068",Ст. М. Ломоносовская,Невский,329-05-17,Http:/centrsporta-nevskij.ru/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,False,False,False,False,Заточка коньков,Имеется
12.010,СПб ГБУ «ЦФКСиЗ Невского района» Ледовая Арена,"Хоккей, фигурное катание",Каток,"Г. Санкт-Петербург, ул. Бабушкина, д.30","Г. Санкт-Петербург, ул. Бабушкина, д.30, стр.1","59.887142,30.432416","Ст. Метро «Ломоносовская», ст. Метро «Елизаровская»",Невский,495-49-40,Https://centrsporta-nevskiy.ru/,Работающий,06.00-23.00,День,Крытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,True,False,True,Заточка коньков;медицинский пункт,Имеется
12.011,ООО «Фидус»,"Массовые катания, хоккей, фигурное катание",Каток,"г. Санкт-Петербург, пр. Обуховской Обороны, д.149, лит.Х","Айс Град (Парк им. И.В.Бабушкина),пр. Обуховской Обороны, д.149, ли.Х","59.884099,30.438722",Ст. Метро «Ломоносовская»,Невский,565-09-99,Parkskazok.ru,Работающий,07.00-05.30,День;ночь,Крытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,True,True,True,True,,Имеется
12.012,СЦ «Динамит»,"Массовые катания, хоккей, фигурное катание",Каток,"г. Санкт-Петербург,  пер. Челиева, д.13, корп.6","Спортивый центр «Динамит» (пер. Челиева, д.13, корп.6)","59.888149,30.481293","Ст. Метро «Ломоносовская», ст.м.Улица Дыбенко»",Невский,565-01-11 565-03-33,Dynamitsport.ru,Работающий,08.00-22.00,День,Крытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,True,True,True,True,Заточка коньков,Имеется
12.013,СК «Алмаз-Антей»,"Массовые катания, хоккей, фигурное катание",Каток,"г. Санкт-Петербург, пр. Обуховской Обороны, д.130, лит.А","Г. Санкт-Петербург, пр. Обуховской Обороны, д.130, лит.А","59.852009,30.48317",Ст. Метро «Пролетарская»,Невский,363-97-84,Osk.spb.ru,Работающий,06.00-02.00,День,Крытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,False,True,True,True,Медицинский пункт,Имеется
12.014,«Хоккейный город» СКА,"Массовые катания, хоккей, фигурное катание",Каток,"г. Санкт-Петербург, Российский пр., д.6","Г. Санкт-Петербург, Российский пр., д.6, стр.1","59.923843,30.469758",Ст. Метро «Проспект Большевиков»,Невский,245-15-29,City.ska.ru,Работающий,07.00-00.00,День,Крытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,False,True,True,False,Заточка коньков,Имеется
12.015,«Хоккейный город» СКА,"Массовые катания, хоккей, фигурное катание",Каток,"г. Санкт-Петербург, Российский пр., д.6","Г. Санкт-Петербург, Российский пр., д.6","59.925565,30.46903",Ст. Метро «Проспект Большевиков»,Невский,245-15-30,City.ska.ru,Временно приостановлено посещение,10.00-22.00,День,Открытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,False,True,False,False,,Имеется
12.016,ОАО «Дворец Спорта»,"Массовые катания, хоккей, фигурное катание",Каток,"г. Санкт-Петербург, пр. Пятилеток, д.1, лит.А","Г. Санкт-Петербург, пр. Пятилеток, д.1, лит.А","59.921538,30.467899",Ст. Метро «Проспект Большевиков»,Невский,718-66-20,Newarena.spb.ru,Работающий,13.00-21.00,День,Крытый,Платно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,True,False,True,False,False,,Имеется
12.017,Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга,Лыжные гонки,Лыжная трасса,"г. Санкт-Петербург, пр. Большевиков, д.18",Парк Есенина,"59.909124,30.489772",Ст. Метро «Улица Дыбенко»,Невский,319-55-48,Https://невская2.рф/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,False,False,False,,Имеется
12.018,Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга,Лыжные гонки,Лыжная трасса,"г. Санкт-Петербург, ул. Антонова-Овсеенко, д.18",Парк Строителей,"59.908212,30.465367","Ст. Метро «Улица Дыбенко», ст. Метро «Пр. Большевиков»",Невский,319-55-48,Https://невская2.рф/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,False,False,False,,Отсутствует
12.019,Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга,Лыжные гонки,Лыжная трасса,"г. Санкт-Петербург, ул. Латышских Стрелков, д.3",Яблоновский сад напротив д.3 ул. Латышских Стрелков,"59.926053,30.467485",Ст. Метро «Пр. Большевиков»,Невский,319-55-48,Https://невская2.рф/,Временно приостановлено посещение,08.00-22.00,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,False,False,False,,Отсутствует
12.020,Государственное бюджетное учреждение дополнительного образования спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга,Лыжные гонки,Лыжная трасса,"г. Санкт-Петербург, ул. Крыленко, д.19, корп.1",Бульвар Крыленко,"59.897131,30.47389",Ст. Метро «Улица Дыбенко»,Невский,319-55-48,Https://невская2.рф/,Временно приостановлено посещение,08.00-22.01,День,Открытый,Бесплатно,Нарушение слуха нарушение зрения поражение верхних конечностей интеллектуальные нарушения,False,False,False,False,False,,Имеется
8.001,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 8, корпус 2, литера А",,"59.838019,30.177447",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.002,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 21, литера А",,"59.836757,30.172578",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Отсутствует
8.003,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 28, литера А",,"59.827356,30.178156",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.004,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"г.Санкт-Петербург, проспект Кузнецова, дом 26, корпус 1, литера А",,"59.852579,30.186088",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.005,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"Санкт-Петербург, Красносельское шоссе, дом 34, литера А",,"59.785934,30.144523",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.006,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"г.Санкт-Петербург, Ленинский проспект, дом 100, корпус 2, литера А",,"59.854291,30.219901",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.007,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"г.Санкт-Петербург, улица Маршала Захарова, дом 27, корпус 1, литера А",,"59.850888,30.203363",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.008,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"г.Санкт-Петербург, улица Чекистов, дом 38, литера А",,"59.842825,30.149967",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.009,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"г.Санкт-Петербург, улица Здоровцева, дом 8, литера А",,"59.840139,30.163738",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,9.00-22.00,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.010,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"Красное село, п. Хвойный, д. 92",,"59.670708,30.074855",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.011,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Лыжная трасса,"г.Санкт-Петербург, Петергофское шоссе, дом 27, литера А",Южно-Приморский парк,"59.85068,30.173791",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.012,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Лыжная трасса,"г.Санкт-Петербург, Авангардная улица, дом 16, литера Д",Полежаевский парк,"59.835243,30.184489",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.013,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Лыжная трасса,"Санкт-Петербург, ул. Здоровцева, д. 8, лит. А",От ул. Чекистов вдоль реки Ивановки до пр. Ветеранов,"59.840139,30.163738",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.014,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Лыжная трасса,"Санкт-Петербург, город Красное Село, улица Освобождения, дом 29, корпус 1, литера А",,"59.74305021992464,30.079600811004642",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.015,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Лыжная трасса,"Санкт-Петербург, город Красное Село, Красногородская улица, дом 7, корпус 3, литера А",Новый микрорайон,"59.720803,30.089924",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.016,ГБУ спортивная школа Красносельского района СПб,"Лыжные гонки, массовое катание",Лыжная трасса,"Красное Село, пр. Двадцать Пятого Октября, д. 105, лит. А",,"59.692551,30.120143",М. Проспект Ветеранов,Красносельский,730-96-66,http://sh.krsl.gov.spb.ru,Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Уличное освещение
8.017,ГБОУ Лицей № 369,Хоккей для учащихся,Каток,"г.Санкт-Петербург, улица Маршала Захарова, дом 52, литера А",,"59.851837,30.206408",М. Проспект Ветеранов,Красносельский,751-17-17,http://369.shkola.spb.ru/katok.html,Временно приостановлено посещение,15:00–22:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,Ограничен доступ (только для учащихся ГБОУ Лицей № 369),Имеется
8.018,Спортивный комплекс «Рубеж»,"Хоккей, фигурное катание, массовое катание",Каток,"г.Санкт-Петербург, проспект Ветеранов, дом 123, строение 1",,"59.834203,30.170341",М. Проспект Ветеранов,Красносельский,8-921-410-25-62,vk.com/sc_rubezh,Работающий,09:00–20:00,День,Закрытый,Платно,Частично доступен,True,True,True,False,True,,Имеется
8.019,Ледовый каток в Южно-Приморском парке,Массовое катание,Каток,"г.Санкт-Петербург, Петергофское шоссе, дом 27, литера А",Южно-Приморский парк,"59.85068,30.173791",М. Проспект Ветеранов,Красносельский,"8-952- 397-09-11, 8-921- 186-31-70",katok.планеталета.рф park-planetaleta.ru,Временно приостановлено посещение,"Пн–пт 12:00–22:00, сб, вс 11.00-22.00",День,Открытый,Платно,Частично доступен,True,False,True,True,False,,Имеется
8.020,Яхт-клуб «Балтиец»,Массовое катание,Каток,"г.Санкт-Петербург, Петергофское шоссе, дом 75, корпус 1, литера Б",,"59.857233,30.119451",М. Проспект Ветеранов,Красносельский,"744-82-69, 572-06-34",baltclub.com,Не работающий,09:00–20:00,День,Открытый,Платно,Частично доступен,False,False,False,False,False,,Уличное освещение
8.021,Рынок «Юнона»,Массовое катание,Каток,"г.Санкт-Петербург, улица Маршала Казакова, дом 35, литера А",,"59.862506,30.211044",М. Проспект Ветеранов,Красносельский,"385-49-68, 501-10-10",Www.unona.market,Не работающий,09:00–20:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,,Уличное освещение
8.022,"СПб ГБУ «Центр физической культуры, спорта и здоровья Красносельского района»",Массовое катание,Каток,"Санкт-Петербург, город Красное Село, улица Спирина, дом 18, литера А",,"59.738379081431795,30.079493522644047",М. Проспект Ветеранов,Красносельский,246-55-63,"https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru",Не работающий,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
1.001,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""","Хоккей, катание на коньках",Каток,"г. Санкт-Петербург, ул. Можайская д.44-48, лит. А",None,"59.913429,30.330735",М. Пушкинская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Не работающий,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,True,False,False,None,Имеется
1.002,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""","Хоккей, катание на коньках",Каток,"г. Санкт-Петербург, наб. реки Фонтанки, д.150","Уч.12 (во дворе дома 150, литера А)","59.915652,30.285882",М. Балтийская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Не работающий,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,None,Внутридворовое освещение
1.003,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Адмиралтейского района""","Хоккей, катание на коньках",Каток,"г. Санкт-Петербург, Лермонтовский пр., д.49","Уч. 6 (западнее дома 49, литера А)","59.912608,30.297246",М. Балтийская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Не работающий,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,None,Внутридворовое освещение
1.004,СПБ ГКУ «Парк «Екатерингоф»,Передвижение на лыжах,Лыжная трасса,"г. Санкт-Петербург, ул. Лифляндская, д.12","Парк Екатерингоф, восточная часть","59.902036,30.260164",М. Нарвская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Не работающий,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,None,Парковое освещение
1.005,СПБ ГКУ «Парк «Екатерингоф»,Передвижение на лыжах,Лыжная трасса,"г. Санкт-Петербург, ул. Лифляндская, д.5","Парк Екатерингоф, западная часть","59.901626,30.25507",М. Нарвская,Адмиралтейский,316-37-05,Http://www.cfkadm.ru/,Не работающий,09:00-21:00,День,Открытый,Бесплатно,Частично доступен,False,False,False,False,False,None,Парковое освещение
1.006,Новая Голландия,Катание на коньках,Каток,"г. Санкт-Петербург, наб. Адмиралтейского канала, д. 2",None,"59.92961,30.287104",М. Адмиралтейская,Адмиралтейский,985-33-66,Https://www.newhollandsp.ru/rink/,Не работающий,09:00-21:00 пт-сб 09:00-23:00,День,Открытый,Платно,Частично доступен,True,True,True,True,True,Туалеты,Имеется
1.007,Каток Музея железных дорог России,Катание на коньках,Каток,"г. Санкт-Петербург, Библиотечный переулок, д.4, корп.2",None,"59.905344,30.297605",М. Балтийская,Адмиралтейский,457-23-16,Https://spbkatok.ru/,Не работающий,13:30-21:00,День,Открытый,Платно,Частично доступен,True,True,True,True,True,None,Имеется
2.001,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, Средний пр. В.О., д.87, к.2, лит. А","Санкт-Петербург, Малый пр. В.О., д.66","59.938788,30.250031","Василеостровская, Приморская",Василеостровский,322-68-15,Http://centrsporta.ru,Работающий,23:00-05:00,Ночь,Закрытый,Платно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,True,True,False,True,"Заточка коньков, туалеты, медицинский пункт",Имеется
2.002,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, 17 линия В.О., д.18",,"59.936895,30.267642",Василеостровская,Василеостровский,322-68-15,Http://centrsporta.ru,Посещение временно приостановлено,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.003,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, Наличная ул., д.5",,"59.930603,30.237997","Василеостровская, Приморская",Василеостровский,322-68-15,Http://centrsporta.ru,Посещение временно приостановлено,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Отсутствует
2.004,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, Наличная ул., д.40, к.4",,"59.951319,30.228051",Приморская,Василеостровский,322-68-15,Http://centrsporta.ru,Посещение временно приостановлено,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.005,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, ул. Кораблестроителей, д.39, лит.Г",,"59.954515,30.231749",Приморская,Василеостровский,322-68-15,Http://centrsporta.ru,Посещение временно приостановлено,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.006,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, ул. Карташихина д.19",,"59.935709,30.240235","Василеостровская, Приморская",Василеостровский,322-68-15,Http://centrsporta.ru,Посещение временно приостановлено,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.007,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»","Хоккей, Катание на коньках",Каток,"Санкт-Петербург, ул. Карташихина д.19",,"59.936065,30.240159","Василеостровская, Приморская",Василеостровский,322-68-15,Http://centrsporta.ru,Посещение временно приостановлено,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",False,False,False,False,False,,Имеется
2.008,Каток у моря (Севкабель Порт),Катание на коньках,Каток,"Санкт-Петербург, Кожевенная линия, д.40, лит.Е",,"59.924957,30.239763","Василеостровская, Приморская",Василеостровский,213-32-02,Https://sevcableport.ru/ru/katok,Посещение временно приостановлено,"Пн-чт: 11:00-21:00, пт-вс: 11:00-22:30",День,Открытый,Платно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,True,True,True,True,"Заточка коньков, салазки, туалеты, медицинский пункт",Имеется
2.009,Каток на Ваське,Катание на коньках,Каток,"Санкт-Петербург, ул. Кораблестроителей, д.14, лит.Б","Санкт-Петербург, площадь Беллинсгаузена","59.938324,30.210576",Приморская,Василеостровский,89967763739,Https://vk.com/katoknavaske,Посещение временно приостановлено,"Пн-чт: 11:00-21:00, пт-вс: 11:00-22:30",День,Открытый,Платно,"Нарушение слуха, интеллектуальные нарушения, поражение верхних конечностей",True,False,True,True,False,"Заточка коньков, туалеты",Имеется
2.010,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»",Передвижение на лыжах,Лыжная трасса,Морская набережная,Морская набережная напротив дома 15,"59.940523,30.209236",Приморская,Василеостровский,322-68-15,Http://centrsporta.ru,Посещение временно приостановлено,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения",False,False,False,False,False,,Имеется (уличное)
2.011,"СПб ГБУ «Центр физической культуры, спорта и здоровья Василеостровского района»",Передвижение на лыжах,Лыжная трасса,Средний проспект (В.О.),Сад Василеостровец,"59.933747,30.257208",Василеостровская,Василеостровский,322-68-15,Http://centrsporta.ru,Посещение временно приостановлено,10:00-22:00,День,Открытый,Бесплатно,"Нарушение слуха, интеллектуальные нарушения",False,False,False,False,False,,Имеется (уличное)
